Zip3,Zipcode,Z,ZipcodeType,City,State,Population,Density,TotalWages,Wealthy,HouseOfUnits,LandArea,WaterArea,Latitude,Longitude,NEBoundLatitude,NEBoundLongitude,SWBoundLatitude,SWBoungLongitude
162,16226,16226,Standard,Ford City,PA,8279,143.0373186,116119780,14025.82196,4197,57.88,1.69,40.7008056,-79.4928857,40.8812871,-79.2152331,40.6270549,-79.5901379
582,58201,58201,Standard,Grand Forks,ND,34880,493.7712344,672364615,19276.50846,16488,70.64,0.21,47.8772694,-97.1580776,47.9333149,-96.993983,47.8025019,-97.3039299
911,91103,91103,Standard,Pasadena,CA,27480,5117.318436,510170581,18565.15943,9076,5.37,0.06,34.1672881,-118.153228,34.192094,-118.144917,34.145707,-118.19097
521,52162,52162,Standard,Postville,IA,3285,32.85985796,35518253,10812.25358,1370,99.97,0,43.1253622,-91.5596117,43.2323619,-91.4308609,42.9708259,-91.6936709
215,21550,21550,Standard,Oakland,MD,14194,69.78710851,185755353,13086.89256,8203,203.39,2.63,39.375842,-79.4253776,39.5603989,-79.2319069,39.202107,-79.4876511
567,56716,56716,Standard,Crookston,MN,9416,29.71471851,124177237,13187.89688,3865,316.88,0.04,47.772808,-96.5837718,47.9343749,-96.288162,47.5278739,-96.8035439
139,13904,13904,Standard,Binghamton,NY,9579,412.887931,129448769,13513.80823,4256,23.2,0.11,42.1292854,-75.841775,42.1647058,-75.6848469,42.094812,-75.9107849
43,4364,4364,Standard,Winthrop,ME,6025,197.4115334,108279671,17971.72963,3230,30.52,6.44,44.3145129,-69.9567134,44.359271,-69.8756101,44.259386,-70.0526029
538,53818,53818,Standard,Platteville,WI,15091,98.31270358,155012758,10271.86787,5329,153.5,0.02,42.7456634,-90.4879916,42.8712231,-90.190382,42.62381,-90.6450449
825,82501,82501,Standard,Riverton,WY,19408,20.62881316,316482094,16306.78555,7991,940.82,29.9,43.0453134,-108.1903059,43.4328329,-107.5015251,42.72551,-108.7223959
676,67601,67601,Standard,Hays,KS,23797,61.73022049,379988168,15967.90217,10733,385.5,0.13,38.9062422,-99.3229213,39.1067959,-99.097705,38.6829399,-99.560564
52,5255,5255,Standard,Manchester Center,VT,4121,104.5408422,71214461,17280.86896,2560,39.42,0.11,43.1492638,-73.0641396,43.213834,-72.9843301,43.1171469,-73.1343561
159,15905,15905,Standard,Johnstown,PA,21226,592.2433036,401535755,18917.1655,9971,35.84,0.27,40.2876488,-78.951451,40.341589,-78.8945991,40.2412379,-79.0775199
678,67846,67846,Standard,Garden City,KS,33696,42.32580925,490595081,14559.44566,12229,796.11,0.41,38.0792424,-100.7097867,38.3371159,-100.4633601,37.6785039,-101.190741
830,83001,83001,Standard,Jackson,WY,15851,19.62218839,249225476,15723.01281,8410,807.81,4.03,43.4686966,-110.6724168,43.814301,-110.051031,43.140732,-110.9676519
855,85541,85541,Standard,Payson,AZ,21877,27.94140186,213573229,9762.455044,14774,782.96,0.37,34.2184226,-111.3321974,34.495456,-110.798653,33.8739711,-111.720713
209,20912,20912,Standard,Takoma Park,MD,24807,9291.011236,543954725,21927.46906,10257,2.67,0.01,38.9797389,-77.004626,38.999626,-76.9804559,38.9658271,-77.026641
588,58801,58801,Standard,Williston,ND,18371,22.09327497,348749781,18983.71243,8179,831.52,35.32,48.2931122,-103.7750537,48.459977,-103.3670431,47.919452,-104.047295
258,25801,25801,Standard,Beckley,WV,33590,406.7078339,419465269,12487.80199,16078,82.59,0.65,37.7997808,-81.229853,37.9133761,-81.0927069,37.727547,-81.390805
996,99615,99615,Standard,Kodiak,AK,12899,3.022527779,222947554,17284.09598,4870,4267.62,647.75,57.6475633,-153.3221514,58.6319171,-151.962242,56.742271,-154.7990021
415,41539,41539,Standard,Kimper,KY,1722,47.20394737,21695979,12599.29094,772,36.48,0,37.5055357,-82.3126294,37.556643,-82.223439,37.453738,-82.4166179
9,907,907,Standard,San Juan,PR,17458,14428.09917,,,13224,1.21,0.13,18.4530752,-66.0783046,18.465705,-66.063345,18.429024,-66.1037361
561,56150,56150,Standard,Lakefield,MN,2742,15.99300087,35806358,13058.48213,1307,171.45,5.58,43.554765,-95.2684437,43.77612,-95.034405,43.5003559,-95.345
827,82718,82718,Standard,Gillette,WY,23003,12.21646884,555527199,24150.20645,9018,1882.95,0.97,43.8380643,-105.6881788,44.298611,-105.0427929,43.4948,-106.113653
955,95521,95521,Standard,Arcata,CA,20199,377.5514019,177508570,8787.988019,9068,53.5,17.71,40.8805372,-124.0874754,40.9560308,-123.928726,40.7568068,-124.2443779
558,55802,55802,Standard,Duluth,MN,2442,953.90625,31445698,12877.02621,1623,2.56,8.45,46.7534028,-92.0681618,46.7993309,-92.001741,46.7040409,-92.120299
599,59912,59912,Standard,Columbia Falls,MT,13499,96.25641757,183947490,13626.74939,6048,140.24,2.36,48.4479632,-114.1413442,48.6293609,-113.967802,48.225685,-114.3294929
746,74601,74601,Standard,Ponca City,OK,20257,117.656967,224832913,11099.0232,9364,172.17,1.7,36.6973961,-97.1359377,36.86911,-97.041946,36.5789709,-97.26104
584,58401,58401,Standard,Jamestown,ND,17142,40.60353404,256093414,14939.52946,8103,422.18,8.07,46.9120821,-98.8372781,47.095439,-98.438796,46.703302,-99.081194
976,97601,97601,Standard,Klamath Falls,OR,22459,40.44553296,279287520,12435.4388,11139,555.29,37.96,42.2249288,-121.7816904,42.8360009,-121.6994621,42.084367,-122.3258828
464,46410,46410,Standard,Merrillville,IN,38340,1298.780488,611466140,15948.51695,16559,29.52,0.03,41.4701989,-87.3214908,41.5242349,-87.227398,41.434737,-87.39755
32,3246,3246,Standard,Laconia,NH,15963,796.5568862,261679257,16392.86206,9885,20.04,6.52,43.5790521,-71.4749994,43.629993,-71.4285799,43.4992719,-71.5364189
169,16950,16950,Standard,Westfield,PA,3378,29.47129646,35036991,10372.11101,2011,114.62,0.18,41.8857941,-77.4931403,42.000068,-77.384325,41.748671,-77.6509799
947,94710,94710,Standard,Berkeley,CA,6948,3231.627907,129812667,18683.45812,2937,2.15,2.26,37.8645848,-122.2965778,37.897867,-122.286634,37.8471669,-122.3275681
997,99709,99709,Standard,Fairbanks,AK,29830,58.80845359,431711587,14472.39648,13631,507.24,7.94,64.8773986,-148.3542567,65.0694689,-147.6613228,64.63499,-148.8128341
596,59601,59601,Standard,Helena,MT,29283,211.6588363,456633159,15593.79705,14056,138.35,0.26,46.5570751,-112.2285158,46.6273259,-111.935568,46.3434199,-112.4209401
264,26431,26431,Standard,Shinnston,WV,5950,159.8602902,81227599,13651.69731,2767,37.22,0.01,39.3778018,-80.2655846,39.426978,-80.198317,39.241769,-80.347706
901,90104,90104,Standard,Seattle,WA,X,X,X,X,X,X,X,47.61,-122.33,X,X,X,X
732,73264,73264,Standard,MARION,AR,X,X,X,X,X,X,X,35.2,-90.2,X,X,X,X
222,22201,22201,Standard,Arlington,VA,33476,14305.98291,1570573667,46916.40778,18985,2.34,0,38.8845126,-77.0938583,38.901303,-77.0791541,38.8713159,-77.120672
603,60302,60302,Standard,Oak Park,IL,32108,10667.10963,1137923677,35440.50321,15670,3.01,0,41.8933254,-87.7812524,41.909254,-87.774639,41.8782461,-87.805826
246,24605,24605,Standard,Bluefield,VA,9301,193.207312,138004044,14837.54908,4293,48.14,0.04,37.2250391,-81.3289397,37.3380979,-81.210257,37.184346,-81.50888
45,4572,4572,Standard,Waldoboro,ME,5075,70.97902098,60192026,11860.49773,2651,71.5,7.36,44.1020708,-69.3762419,44.215959,-69.282027,44.00461,-69.4502611
943,94306,94306,Standard,Palo Alto,CA,26469,6317.183771,1304958156,49301.37731,11243,4.19,0,37.4177563,-122.1235054,37.4383301,-122.10203,37.38876,-122.16025
459,45950,45950,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
883,88310,88310,Standard,Alamogordo,NM,35776,83.75119976,386979150,10816.7249,16669,427.17,0.49,32.6996249,-106.1110501,33.0767491,-105.760473,32.3963909,-106.222861
438,43812,43812,Standard,Coshocton,OH,19061,118.0101535,240178803,12600.53528,8951,161.52,2.27,40.2892965,-81.8879884,40.473132,-81.667609,40.145756,-82.047562
409,40965,40965,Standard,Middlesboro,KY,13570,188.6031967,115110660,8482.731024,6439,71.95,0.55,36.6370881,-83.6986568,36.7058709,-83.5617659,36.5825959,-83.869028
499,49931,49931,Standard,Houghton,MI,9630,338.9651531,91961137,9549.443094,3457,28.41,2.75,47.0979653,-88.5606025,47.2323529,-88.502652,47.0248119,-88.6909009
249,24935,24935,Standard,Forest Hill,WV,688,23.95543175,,,515,28.72,0.47,37.5126007,-80.7879407,37.6124158,-80.6865649,37.4744741,-80.8844011
51,5101,5101,Standard,Bellows Falls,VT,4643,135.0101774,59352797,12783.28602,2252,34.39,0.7,43.1744949,-72.4968189,43.2358019,-72.434354,43.1050691,-72.55789
942,94203,94203,XX,SACRAMENTO,CA,,XX,XX,XX,XX,XX,XX,38.58,-121.49,XX,XX,XX,XX
828,82801,82801,Standard,Sheridan,WY,24558,37.56481836,453386004,18461.84559,11285,653.75,0.49,44.8302484,-106.8986415,45.096179,-106.3975101,44.560956,-107.354959
566,56601,56601,Standard,Bemidji,MN,32225,88.0560717,428279604,13290.29027,14446,365.96,51.12,47.5796497,-94.9187569,47.7163449,-94.5095169,47.3121869,-95.1529769
513,51351,51351,Standard,Milford,IA,4365,41.3430574,68323928,15652.67537,2802,105.58,2.11,43.3077243,-95.2057909,43.3964591,-95.0425999,43.2410158,-95.328789
507,50701,50701,Standard,Waterloo,IA,30324,371.663194,561012096,18500.59676,13837,81.59,1.32,42.4285686,-92.3616203,42.5324059,-92.1744639,42.311924,-92.437107
46,4609,4609,Standard,Bar Harbor,ME,5222,123.6268939,78456708,15024.26427,3482,42.24,19.49,44.3875773,-68.2039739,44.45261,-68.136566,44.306675,-68.4096911
961,96150,96150,Standard,South Lake Tahoe,CA,29792,241.0941167,196471308,6594.76732,21720,123.57,4.49,38.8864448,-119.9971769,39.067333,-119.8772479,38.6918769,-120.1716
689,68970,68970,Standard,Red Cloud,NE,1342,8.7758305,13843360,10315.46945,773,152.92,0,40.1170629,-98.5281613,40.2488891,-98.3819471,40.0022199,-98.6524071
53,5301,5301,Standard,Brattleboro,VT,16820,112.2455789,234877039,13964.15214,8450,149.85,1.4,42.8503275,-72.561284,42.9665829,-72.520849,42.7301189,-72.8045829
647,64776,64776,Standard,Osceola,MO,3942,16.42910728,31888297,8089.370117,2307,239.94,17.59,38.0498402,-93.6217802,38.2174399,-93.4199859,37.870031,-93.907315
829,82901,82901,Standard,Rock Springs,WY,27971,20.14447037,615652293,22010.37836,11943,1388.52,0.09,41.3615496,-108.902683,41.7944069,-108.251725,40.998143,-109.5628
881,88101,88101,Standard,Clovis,NM,45006,84.58661454,507803875,11283.02615,18662,532.07,1.75,34.5265446,-103.3125299,34.727393,-103.0561219,34.259012,-103.477287
873,87301,87301,Standard,Gallup,NM,23674,286.9575758,210213249,8879.498564,8844,82.5,0.01,35.5057603,-108.7600963,35.7345539,-108.5905859,35.327846,-109.0467949
858,85824,85824,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
753,75397,75397,XX,DALLAS,TX,,XX,XX,XX,XX,XX,XX,32.79,-96.76,XX,XX,XX,XX
649,64907,64907,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
413,41332,41332,Standard,Hazel Green,KY,1184,28.07017544,11332604,9571.456081,618,42.18,0.11,37.7802494,-83.3468784,37.8642059,-83.1672881,37.695308,-83.470736
8,873,873,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
677,67730,67730,Standard,Atwood,KS,1612,4.210856277,18307203,11356.82568,899,382.82,0.1,39.8150561,-101.1164452,40.002702,-100.907743,39.6113821,-101.3751891
733,73301,73301,XX,AUSTIN,TX,1912,XX,XX,XX,XX,XX,XX,30.26,-97.74,XX,XX,XX,XX
188,18848,18848,Standard,Towanda,PA,9193,86.75096725,123708659,13456.83226,4494,105.97,2.54,41.7693656,-76.4794435,41.8719169,-76.347477,41.6478429,-76.6189189
36,3603,3603,Standard,Charlestown,NH,5412,126.9826373,85720280,15838.92831,2415,42.62,2.25,43.2347143,-72.4021423,43.357187,-72.257368,43.134355,-72.4531569
508,50801,50801,Standard,Creston,IA,9590,45.90054085,127078065,13251.10167,4533,208.93,1.5,41.0781268,-94.356513,41.20104,-94.2230319,40.935156,-94.566233
944,94403,94403,Standard,San Mateo,CA,39642,7041.207815,1237433782,31215.22078,16371,5.63,0.17,37.5349925,-122.3050823,37.5676641,-122.2749741,37.514998,-122.33256
686,68602,68602,XX,COLUMBUS,NE,700,XX,XX,XX,XX,XX,XX,41.43,-97.35,XX,XX,XX,XX
256,25625,25625,Standard,Holden,WV,1452,97.90964262,20503344,14120.76033,550,14.83,0,37.8231974,-82.0788445,37.84696,-82.0372929,37.8064331,-82.1048409
556,55616,55616,Standard,Two Harbors,MN,6994,19.73420615,111190197,15897.94066,4239,354.41,16.63,47.1640849,-91.5991276,47.432828,-91.299023,46.928751,-91.866544
634,63401,63401,Standard,Hannibal,MO,22067,211.4507474,299339560,13565.03195,9750,104.36,2.38,39.705018,-91.4241426,39.789203,-91.2565209,39.578328,-91.603618
408,40870,40870,Standard,Totz,KY,279,39.63068182,,,141,7.04,0.08,36.9394697,-83.1541796,36.968798,-83.0855359,36.895397,-83.212879
877,87701,87701,Standard,Las Vegas,NM,20081,12.46585717,192416646,9582.025098,9469,1610.88,3.05,35.5939574,-105.2238868,35.8049601,-104.3674469,35.2159509,-105.5947039
252,25262,25262,Standard,Millwood,WV,898,120.5369128,14622091,16282.95212,401,7.45,0.96,38.8998682,-81.8333656,38.947015,-81.7535878,38.8780821,-81.868554
536,53660,53660,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
854,85448,85448,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
102,10282,10282,Standard,New York,NY,4783,53144.44444,589887736,123330.0723,2484,0.09,0,40.7167028,-74.0152027,40.725448,-74.0109678,40.711932,-74.023886
