Id,Ship Date,Deliv Date,Trailer Number,Equipment,UPPER([Driver]),UPPER([Truck Number]),Cons City,Cons State,Con Zip,Ship City,Ship State,Ship Zip,Max. Miles,Max. Total Carr Adj,Max. Total Cust Rate,WordParam,DateParam
1458218,1/10/2018,1/17/2018,ETA 1/04,40 HC,ZIM,IMPORT,LOUISVILLE,KY,40214,LOUISVILLE,KY,40214,0,800,1300,ETA,1/4/2018
1458225,1/9/2018,1/17/2018,ETA 1/5,20FT CONTAINER,COSCO,IMPORT,JEANNETTE,PA,15644,BALTIMORE,MD,21222,233,2700,3300,ETA,1/5/2018
1458232,1/9/2018,1/16/2018,ETA 1/5,20FT CONTAINER,COSCO,IMPORT,JEANNETTE,PA,15644,BALTIMORE,MD,21222,233,2500,3000,ETA,1/5/2018
1458268,1/10/2018,1/15/2018,ETA 1/2,40 Flat Rack,SM LINES,IMPORT,WEST BONTIFUL,UT,84087,LONG BEACH,CA,90801,710,7500,9200,ETA,1/2/2018
1458270,1/12/2018,1/15/2018,ETA 1/10,20FT CONTAINER,KOS,IMPORT,MEDLEY,FL,33166,MIAMI,FL,33132,12,1600,2300,ETA,1/10/2018
1458277,1/11/2018,1/12/2018,eta 1/6,40FT CONTAINER,EVGL,IMPORT,SACRAMENTO,CA,95834,OAKLAND,CA,94607,82,1100,1300,eta,1/6/2018
1458340,1/9/2018,1/24/2018,ETA 1/9,40FT CONTAINER,HAPAG LLOYD,IMPORT,ELKO,NV,89801,OAKLAND,CA,94607,500,3400,5500,ETA,1/9/2018
1458359,1/17/2018,1/25/2018,eta 12/21,40 HC,MSC,IMPORT,FESTUS,MO,63028,ST. LOUIS,MO,63139,38,900,1400,eta,12/21/2018
1458436,1/12/2018,1/15/2018,ETA 1/7,40FT CONTAINER,YANG MING,IMPORT,NASHVILLE,TN,37211,GARDEN CITY,GA,31408,498,3200,3400,ETA,1/7/2018
1458448,1/9/2018,1/9/2018,ETA 1/16,40 HC,CMA,IMPORT,HOUSTON,TX,77076,HOUSTON,TX,77029,14,800,900,ETA,1/16/2018
1458460,1/9/2018,1/9/2018,ETA 1/17,40 HC,MOL,IMPORT,MYRTLE BEACH,SC,29577,MOUNT PLEASANT,SC,29464,89,1300,1400,ETA,1/17/2018
1458466,1/9/2018,1/15/2018,ETA 01/09,40 HC,CMA,IMPORT,COLUMBIA,SC,29209,HIGHWAY AUSTELL,GA,30106,249,1700,2100,ETA,1/9/2018
1458467,1/9/2018,1/9/2018,ETA 1/18,40 HC,YANG MING,IMPORT,MEMPHIS,TN,38118,MARION,AR,37501,13,2300,2700,ETA,1/18/2018
1458470,1/9/2018,1/9/2018,ETA 1/18,40 HC,YANG MING,IMPORT,MEMPHIS,TN,38118,MARION,AR,37501,13,2000,2400,ETA,1/18/2018
1458475,1/9/2018,1/9/2018,ETA 2/25,40 HC,MOL,IMPORT,MEMPHIS,TN,38118,MARION,AR,37501,13,2300,2700,ETA,2/25/2018
1458478,1/9/2018,1/9/2018,ETA 2/25,40 HC,YANG MING,IMPORT,MEMPHIS,TN,38118,MARION,AR,37501,13,2000,2400,ETA,2/25/2018
1458492,1/15/2018,1/26/2018,CUT 1/18,40FT CONTAINER,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29301,GREER,SC,29651,15,400,600,CUT,1/18/2018
1458493,1/9/2018,1/9/2018,ETA 1/18,40 HC,YANG MING,IMPORT,ST. CLOUD,MN,56304,ST. PAUL,MN,55104,72,1200,1300,ETA,1/18/2018
1458497,1/15/2018,1/26/2018,CUT 1/18,40FT CONTAINER,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29301,GREER,SC,29651,15,400,500,CUT,1/18/2018
1458517,1/9/2018,1/25/2018,ETA 1/9,20FT CONTAINER,NYK,IMPORT,MANCHESTER,GA,31816,GARDEN CITY,GA,31408,241,1500,1600,ETA,1/9/2018
1458521,1/16/2018,1/19/2018,ETA 1/7,40FT CONTAINER,YANG MING,IMPORT,NASHVILLE,TN,37211,GARDEN CITY,GA,31408,498,3200,3400,ETA,1/7/2018
1458522,1/12/2018,1/15/2018,ETA 1/7,40FT CONTAINER,YANG MING,IMPORT,NASHVILLE,TN,37211,GARDEN CITY,GA,31408,498,3200,3400,ETA,1/7/2018
1458523,1/15/2018,1/16/2018,ETA 1/7,40FT CONTAINER,YANG MING,IMPORT,NASHVILLE,TN,37211,GARDEN CITY,GA,31408,498,3200,3400,ETA,1/7/2018
1458524,1/12/2018,1/15/2018,ETA 1/7,40FT CONTAINER,YANG MING,IMPORT,NASHVILLE,TN,37211,GARDEN CITY,GA,31408,498,3300,3500,ETA,1/7/2018
1458525,1/15/2018,1/16/2018,ETA 1/7,40FT CONTAINER,YANG MING,IMPORT,NASHVILLE,TN,37211,GARDEN CITY,GA,31408,498,3200,3400,ETA,1/7/2018
1458526,1/16/2018,1/18/2018,ETA 1/7,40FT CONTAINER,YANG MING,IMPORT,NASHVILLE,TN,37211,GARDEN CITY,GA,31408,498,3200,3400,ETA,1/7/2018
1458528,1/10/2018,1/11/2018,ETA 1/4,40FT CONTAINER,APL,IMPORT,WALKERTON,IN,46574,HARVEY,IL,60426,71,3800,3900,ETA,1/4/2018
1458535,1/10/2018,1/11/2018,ETA 1/4,40FT CONTAINER,APL,IMPORT,WALKERTON,IN,46574,HARVEY,IL,60426,71,3000,3200,ETA,1/4/2018
1458546,1/10/2018,1/11/2018,ETA 1/4,40FT CONTAINER,APL,IMPORT,WALKERTON,IN,46574,HARVEY,IL,60426,71,1500,1600,ETA,1/4/2018
1458564,1/17/2018,1/25/2018,CUT 1/26,40FT CONTAINER,MAERSK,EXPORT,STATESVILLE,NC,28625,NORTH CHARLESTON,SC,29406,240,1600,1800,CUT,1/26/2018
1458589,1/22/2018,1/26/2018,CUT 1/26,20FT CONTAINER,MAERSK,EXPORT,STATESVILLE,NC,28625,MOUNT PLEASANT,SC,29464,257,1700,1800,CUT,1/26/2018
1458602,1/10/2018,1/12/2018,CUT 1/15,20FT CONTAINER,HYUNDAI,EXPORT,ATHENS,GA,30601,ATLANTA,GA,30315,78,800,1100,CUT,1/15/2018
1458614,1/12/2018,1/17/2018,CUT 1/16,40FT CONTAINER,CMA,EXPORT,MARION,NC,28752,SAVANNAH,GA,31408,312,1900,2000,CUT,1/16/2018
1458621,1/12/2018,1/17/2018,ETA 1/12,40 HC,HAMBURG SUD,IMPORT,ANN ARBOR,MI,48108,ELWOOD,IL,60421,265,1900,2100,ETA,1/12/2018
1458624,1/11/2018,1/17/2018,ETA 1/11,40FT CONTAINER,HAMBURG SUD,IMPORT,ANN ARBOR,MI,48108,ELWOOD,IL,60421,265,1900,2100,ETA,1/11/2018
1458625,1/11/2018,1/17/2018,ETA 1/11,20FT CONTAINER,HAMBURG SUD,IMPORT,ANN ARBOR,MI,48108,ELWOOD,IL,60421,265,2000,2200,ETA,1/11/2018
1458640,1/25/2018,1/26/2018,CUT 1/26,40FT CONTAINER,YANG MING,EXPORT,ELK GROVE,IL,60007,ELWOOD,IL,60421,48,900,1100,CUT,1/26/2018
1458643,1/25/2018,1/26/2018,CUT 1/26,40FT CONTAINER,YANG MING,EXPORT,ELK GROVE,IL,60007,ELWOOD,IL,60421,48,900,1100,CUT,1/26/2018
1458653,1/16/2018,1/17/2018,CUT 1/19,40 HC,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29304,CHARLESTON,SC,29407,201,1700,1800,CUT,1/19/2018
1458658,1/16/2018,1/17/2018,CUT 1/19,40 HC,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29304,CHARLESTON,SC,29407,201,1700,1800,CUT,1/19/2018
1458662,1/16/2018,1/18/2018,CUT 1/19,40 HC,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29304,CHARLESTON,SC,29407,201,1700,1800,CUT,1/19/2018
1458666,1/16/2018,1/18/2018,CUT 1/19,40 HC,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29304,CHARLESTON,SC,29407,201,1700,1800,CUT,1/19/2018
1458669,1/17/2018,1/18/2018,CUT 1/19,40 HC,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29304,CHARLESTON,SC,29407,201,1700,1800,CUT,1/19/2018
1458673,1/17/2018,1/18/2018,CUT 1/19,40 HC,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29304,CHARLESTON,SC,29407,201,1700,1800,CUT,1/19/2018
1458674,1/17/2018,1/19/2018,CUT 1/19,40 HC,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29304,CHARLESTON,SC,29407,201,1700,1800,CUT,1/19/2018
1458676,1/17/2018,1/19/2018,CUT 1/19,40 HC,HAPAG LLOYD,EXPORT,SPARTANBURG,SC,29304,CHARLESTON,SC,29407,201,1700,1800,CUT,1/19/2018
1458698,1/11/2018,1/11/2018,cut 1/12,40 HC,HAPAG,EXPORT,WINSTOM-SALEM,NC,27107,CHARLOTTE,NC,28213,73,900,1000,cut,1/12/2018
1458700,1/11/2018,1/11/2018,CUT 1/12,40 HC,HAPAG,EXPORT,WINSTOM-SALEM,NC,27107,CHARLOTTE,NC,28213,73,900,1000,CUT,1/12/2018
1458721,1/13/2018,1/17/2018,ETA 1/15,40FT CONTAINER,EVERGREEN,IMPORT,SAN FRANCISCO,CA,94124,OAKLAND,CA,94607,12,700,900,ETA,1/15/2018
1458724,1/13/2018,1/18/2018,ETA 1/15,40FT CONTAINER,EVERGREEN,IMPORT,SAN FRANCISCO,CA,94124,OAKLAND,CA,94607,12,700,900,ETA,1/15/2018
1458725,1/13/2018,1/18/2018,ETA 1/15,40FT CONTAINER,EVERGREEN,IMPORT,SAN FRANCISCO,CA,94124,OAKLAND,CA,94607,12,700,900,ETA,1/15/2018
1458726,1/13/2018,1/17/2018,ETA 1/15,40FT CONTAINER,EVERGREEN,IMPORT,SAN FRANCISCO,CA,94124,OAKLAND,CA,94607,12,700,900,ETA,1/15/2018
1458889,1/15/2018,1/18/2018,CUT 1/18,20FT CONTAINER,MAERSK,EXPORT,TAMPA,FL,33601,SAVANNAH,GA,31408,237,2800,3000,CUT,1/18/2018
1459126,1/19/2018,1/22/2018,ETA 1/07,40FT CONTAINER,COSCO,IMPORT,MEQUON,WI,53092,HARVEY,IL,60426,131,1700,2200,ETA,1/7/2018
1459143,1/10/2018,1/17/2018,ETA 1/11,20 STD,YANG MING,IMPORT,CARSON,CA,90745,LONG BEACH,CA,90802,12,1100,1400,ETA,1/11/2018
1459163,1/10/2018,1/17/2018,ETA 1/11,20 STD,YANG MING,IMPORT,CARSON,CA,90745,LONG BEACH,CA,90802,12,1300,1600,ETA,1/11/2018
1459183,1/10/2018,1/22/2018,ETA 1/11,40 HC,EVERGREEN,IMPORT,FIFE,WA,98424,TACOMA,WA,98421,5,700,1300,ETA,1/11/2018
1459190,1/10/2018,1/22/2018,ETA 1/11,40 HC,EVERGREEN,IMPORT,FIFE,WA,98424,TACOMA,WA,98421,5,900,1500,ETA,1/11/2018
1459210,1/19/2018,1/22/2018,cut 1/19,20FT CONTAINER,HAPAG,EXPORT,ALLENTOWN,PA,18101,JERSEY CITY,NJ,7305,87,1600,1700,cut,1/19/2018
1459223,1/15/2018,1/15/2018,ETA 1/11,20 STD,CMA,IMPORT,SAUK VILLAGE,IL,60411,ELWOOD,IL,60421,32,3100,3200,ETA,1/11/2018
1459401,1/10/2018,1/30/2018,CUT 1/31,40 HC,YANG MING,EXPORT,WINSTON SALEM,NC,27105,WILMINGTON,NC,28401,241,1300,1600,CUT,1/31/2018
1459407,1/10/2018,1/30/2018,Cut 1/31,40 HC,YANG MING,EXPORT,WINSTON SALEM,NC,27105,WILMINGTON,NC,28401,241,1400,1600,Cut,1/31/2018
1459513,1/10/2018,1/15/2018,ETA 1/11,20FT CONTAINER,COSCO,IMPORT,HIGH POINT,NC,27262,NORFOLK,VA,23505,258,2300,2700,ETA,1/11/2018
1459573,1/12/2018,1/22/2018,ETA 12/28,40 STD,EVERGREEN,IMPORT,AUGUSTA,GA,30901,MOUNT PLEASANT,SC,29464,145,1100,1400,ETA,12/28/2018
1459578,1/10/2018,1/10/2018,ETA 1/29,40 HC,APL,IMPORT,COPPELL,TX,75019,WILMER,TX,75172,37,1200,1300,ETA,1/29/2018
1459591,1/10/2018,1/17/2018,ETA 1/10,40 HC,HAPAG,IMPORT,CONCORD,NC,28027,SAVANNAH,GA,31408,271,2200,1900,ETA,1/10/2018
1459637,1/19/2018,1/23/2018,ETA 1/19,40 STD,EVERGREEN,IMPORT,MONROE,LA,71203,LAPORTE,TX,77571,343,2400,2800,ETA,1/19/2018
1459638,1/10/2018,1/17/2018,ETA 1/10,40 STD,MAERSK,IMPORT,CARSON,CA,90745,TERMINAL ISLAND,CA,90731,10,1000,1300,ETA,1/10/2018
1459652,1/10/2018,1/12/2018,ETA 1/07,20FT CONTAINER,EVERGREEN,IMPORT,HAYWARD,CA,94545,OAKLAND,CA,94601,13,800,900,ETA,1/7/2018
1459688,1/10/2018,1/17/2018,ETA 1/08,40 STD,YANG MING,IMPORT,SAVANNAH,GA,31401,SAVANNAH,GA,31401,0,1400,2300,ETA,1/8/2018
1459689,1/10/2018,1/15/2018,ETA 1/07,40FT CONTAINER,HAPAG LLOYD,IMPORT,LOCKBOURNE,OH,43137,JERSEY CITY,NJ,7305,535,5600,6300,ETA,1/7/2018
1459710,1/23/2018,1/24/2018,ETA 1/20,20 STD,HMDU,IMPORT,SHEPHERDSVILLE,KY,40165,LOUISVILLE,KY,40214,17,600,800,ETA,1/20/2018
1459726,1/16/2018,1/16/2018,CUT 1/17,40 HC,TURKON,EXPORT,ELIZABETH,NJ,7207,KENMORE,NY,14217,379,3200,3500,CUT,1/17/2018
1459735,1/12/2018,1/13/2018,CUT 1/18,45FT CONTAINER,MAERSK,EXPORT,STATESVILLE,NC,28677,MOUNT PLEASANT,SC,29464,253,1800,1900,CUT,1/18/2018
1459745,1/12/2018,1/13/2018,CUT 1/18,45FT CONTAINER,MAERSK,EXPORT,STATESVILLE,NC,28677,MOUNT PLEASANT,SC,29464,253,1800,1900,CUT,1/18/2018
